YEAR,    JAN,    FEB,    MAR,    APR,    MAY,    JUN,    JUL,    AUG,    SEP,    OCT,    NOV,    DEC,   D-J-F,   M-A-M,   J-J-A,   S-O-N,  metANN
1989,    0.7,    4.8,    9.3,   10.6,   16.5,   18.4,   21.9,   20.7,   17.7,   12.6,    4.7,    2.9,     3.0,    12.1,    20.3,    11.7,   11.78
1990,    1.0,    6.3,   10.3,   11.1,   17.8,   19.3,   21.2,   22.5,   15.2,   11.1,    6.6,    1.1,     3.4,    13.1,    21.0,    11.0,   12.11
1991,    1.4,   -1.1,    8.2,    9.9,   13.4,   19.6,   23.3,   21.3,   17.8,   10.1,    6.0,   -0.4,     0.5,    10.5,    21.4,    11.3,   10.92
1992,    2.0,    4.0,    6.8,    7.1,   17.0,   20.8,   22.9,   26.6,   17.0,   10.2,    6.5,    0.7,     1.9,    10.3,    23.4,    11.2,   11.71
1993,    1.5,   -0.3,    5.3,   12.0,   19.8,   20.4,   20.5,   22.2,   16.2,   12.4,    2.6,    3.4,     0.6,    12.4,    21.0,    10.4,   11.11
1994,    4.1,    2.5,    8.9,   11.9,   16.3,   20.1,   24.8,   22.8,   19.2,   10.0,    7.0,    2.5,     3.3,    12.4,    22.6,    12.1,   12.58
1995,    0.2,    6.3,    5.6,   11.8,   15.8,   19.0,   24.9,   20.9,   15.2,   12.6,    3.3,    1.1,     3.0,    11.1,    21.6,    10.4,   11.51
1996,   -1.0,   -1.5,    3.0,   12.6,   17.9,   20.9,   20.3,   21.2,   13.2,   12.3,    8.6,   -0.5,    -0.5,    11.2,    20.8,    11.4,   10.72
1997,   -0.8,    3.7,    6.9,    8.6,   17.5,   20.4,   20.7,   22.4,   17.3,    9.8,    6.8,    3.4,     0.8,    11.0,    21.2,    11.3,   11.07
1998,    4.0,    7.1,    5.7,   13.0,   16.6,   21.3,   22.2,   22.8,   16.1,   12.0,    3.8,   -1.7,     4.8,    11.8,    22.1,    10.6,   12.33
1999,    0.9,    1.6,    8.3,   13.1,   17.2,   20.1,   23.1,   21.2,   19.8,   11.6,    3.9,    1.3,     0.3,    12.9,    21.5,    11.8,   11.59
2000,   -0.7,    4.6,    6.8,   14.8,   18.6,   21.7,   20.3,   23.9,   16.2,   14.2,    9.0,    3.0,     1.7,    13.4,    22.0,    13.1,   12.56

